time_s,amplitude_mV
0.3960,-0.02176
0.4000,0.35391
0.4040,0.77438
0.4080,1.14515
0.4120,1.41920
0.4160,1.56295
0.4200,1.46936
0.4240,1.24185
0.4280,0.92481
0.4320,0.48693
0.4360,0.12439
0.4400,-0.23988
0.4440,-0.47283
0.4480,-0.59044
0.4520,-0.61161
0.4560,-0.56817
0.4600,-0.49375
0.4640,-0.38519
0.4680,-0.26553
0.4720,-0.17441
0.4760,-0.11171
0.4800,-0.04160
0.4840,0.00433
0.4880,0.01600
0.4920,0.05191
0.4960,0.04366
0.5000,0.04071
0.5040,0.04814
0.5080,0.04087
0.5120,0.03604
0.5160,0.06083
0.5200,0.04315
0.5240,0.05305
0.5280,0.05980
0.5320,0.06992
0.5360,0.07439
0.5400,0.07196
0.5440,0.04623
0.5480,0.07654
0.5520,0.07286
0.5560,0.08812
0.5600,0.11042
0.5640,0.11385
0.5680,0.11181
0.5720,0.12331
0.5760,0.10112
0.5800,0.13460
0.5840,0.14978
0.5880,0.13905
0.5920,0.16543
0.5960,0.16381
0.6000,0.19513
0.6040,0.20775
0.6080,0.19445
0.6120,0.23607
0.6160,0.22319
0.6200,0.26907
0.6240,0.24299
0.6280,0.26359
0.6320,0.27807
0.6360,0.27574
0.6400,0.27305
0.6440,0.29858
0.6480,0.33803
0.6520,0.32771
0.6560,0.33798
0.6600,0.37524
0.6640,0.36877
0.6680,0.37997
0.6720,0.38938
0.6760,0.36928
0.6800,0.39002
0.6840,0.39460
0.6880,0.39308
0.6920,0.38106
0.6960,0.40527
0.7000,0.37316
0.7040,0.38255
0.7080,0.38191
0.7120,0.38422
0.7160,0.39830
0.7200,0.40480
0.7240,0.39909
0.7280,0.37775
0.7320,0.36382
0.7360,0.31300
0.7400,0.35515
0.7440,0.36720
0.7480,0.32363
0.7520,0.30901
0.7560,0.30433
0.7600,0.29289
0.7640,0.27197
0.7680,0.25226
0.7720,0.25123
0.7760,0.21327
0.7800,0.19382
0.7840,0.23092
0.7880,0.19236
0.7920,0.19904
0.7960,0.20107
0.8000,0.18593
0.8040,0.14965
0.8080,0.15362
0.8120,0.12254
0.8160,0.13025
0.8200,0.13980
0.8240,0.11739
0.8280,0.06744
0.8320,0.07023
0.8360,0.08625
0.8400,0.11301
0.8440,0.09118
0.8480,0.08592
0.8520,0.06007
0.8560,0.07839
0.8600,0.03881
0.8640,0.07514
0.8680,0.08509
0.8720,0.05280
0.8760,0.07925
0.8800,0.05035
0.8840,0.06173
0.8880,0.05605
0.8920,0.05824
0.8960,0.07863
0.9000,0.06798
0.9040,0.04375
0.9080,0.01171
0.9120,0.06597
0.9160,0.06345
0.9200,0.05400
0.9240,0.04274
0.9280,0.07474
0.9320,0.02367
0.9360,0.03848
0.9400,0.02808
0.9440,0.05554
0.9480,0.04294
0.9520,0.08167
0.9560,0.05045
0.9600,0.04692
0.9640,0.05960
0.9680,0.04076
0.9720,0.03650
0.9760,0.06215
0.9800,0.04857
0.9840,0.07284
0.9880,0.06608
0.9920,0.06634
0.9960,0.06989
1.0000,0.07264
1.0040,0.08597
1.0080,0.08070
1.0120,0.06494
1.0160,0.10393
1.0200,0.10502
1.0240,0.10100
1.0280,0.14347
1.0320,0.13630
1.0360,0.12595
1.0400,0.16071
1.0440,0.16069
1.0480,0.15324
1.0520,0.19009
1.0560,0.17473
1.0600,0.20459
1.0640,0.18179
1.0680,0.20939
1.0720,0.19866
1.0760,0.18961
1.0800,0.17065
1.0840,0.18809
1.0880,0.17339
1.0920,0.15080
1.0960,0.15473
1.1000,0.12012
1.1040,0.10576
1.1080,0.11321
1.1120,0.10584
1.1160,0.10195
1.1200,0.08799
1.1240,0.09790
1.1280,0.05298
1.1320,0.07459
1.1360,0.06360
1.1400,0.07466
1.1440,0.04945
1.1480,0.04340
1.1520,0.05195
1.1560,0.01723
1.1600,-0.01664
1.1640,-0.07767
1.1680,-0.13449
1.1720,-0.24649
1.1760,-0.33740
1.1800,-0.42716
1.1840,-0.56802
1.1880,-0.61241
1.1920,-0.62501
1.1960,-0.54225
1.2000,-0.38963
1.2040,-0.10391
1.2080,0.31738
1.2120,0.71309
1.2160,1.10141
1.2200,1.40976
1.2240,1.53068
1.2280,1.46593
1.2320,1.28910
1.2360,0.97402
1.2400,0.55341
1.2440,0.15070
1.2480,-0.20230
1.2520,-0.42496
1.2560,-0.57271
1.2600,-0.66108
1.2640,-0.56872
1.2680,-0.52205
1.2720,-0.37083
1.2760,-0.31121
1.2800,-0.17846
1.2840,-0.12652
1.2880,-0.06367
1.2920,-0.00908
1.2960,-0.00814
1.3000,0.02327
1.3040,0.03241
1.3080,0.05110
1.3120,0.05703
1.3160,0.06693
1.3200,0.04506
1.3240,0.04829
1.3280,0.03537
1.3320,0.03431
1.3360,0.02816
1.3400,0.04704
1.3440,0.05555
1.3480,0.05661
1.3520,0.06839
1.3560,0.04332
1.3600,0.09394
1.3640,0.07728
1.3680,0.09425
1.3720,0.08869
1.3760,0.07650
1.3800,0.09140
1.3840,0.05396
1.3880,0.11430
1.3920,0.11821
1.3960,0.14611
1.4000,0.11072
1.4040,0.14548
1.4080,0.15212
1.4120,0.14820
1.4160,0.15593
1.4200,0.17145
1.4240,0.21522
1.4280,0.22683
1.4320,0.20217
1.4360,0.23305
1.4400,0.25442
1.4440,0.26387
1.4480,0.24770
1.4520,0.27266
1.4560,0.27100
1.4600,0.31818
1.4640,0.35173
1.4680,0.32128
1.4720,0.29837
1.4760,0.35056
1.4800,0.36850
1.4840,0.37326
1.4880,0.35850
1.4920,0.36788
1.4960,0.36417
1.5000,0.37527
1.5040,0.37916
1.5080,0.35316
1.5120,0.35396
1.5160,0.35480
1.5200,0.35253
1.5240,0.35386
1.5280,0.36173
1.5320,0.31835
1.5360,0.34382
1.5400,0.31834
1.5440,0.26880
1.5480,0.29562
1.5520,0.28672
1.5560,0.28775
1.5600,0.27666
1.5640,0.25568
1.5680,0.23129
1.5720,0.24537
1.5760,0.20842
1.5800,0.18827
1.5840,0.18409
1.5880,0.17340
1.5920,0.16776
1.5960,0.15103
1.6000,0.14089
1.6040,0.14647
1.6080,0.13670
1.6120,0.12260
1.6160,0.10029
1.6200,0.08574
1.6240,0.08360
1.6280,0.07670
1.6320,0.08386
1.6360,0.05988
1.6400,0.03935
1.6440,0.03869
1.6480,0.07200
1.6520,0.02630
1.6560,0.01650
1.6600,0.02667
1.6640,0.05343
1.6680,0.02479
1.6720,0.02441
1.6760,-0.00665
1.6800,-0.00821
1.6840,0.01177
1.6880,0.00272
1.6920,0.01343
1.6960,-0.01075
1.7000,0.01996
1.7040,0.02307
1.7080,-0.02181
1.7120,0.00388
1.7160,-0.00506
1.7200,0.01979
1.7240,0.00065
1.7280,0.01075
1.7320,-0.00543
1.7360,-0.00026
1.7400,0.02639
1.7440,0.02495
1.7480,-0.03218
1.7520,-0.00152
1.7560,-0.00408
1.7600,-0.02423
1.7640,-0.02002
1.7680,-0.00605
1.7720,0.00526
1.7760,-0.00140
1.7800,-0.01559
1.7840,-0.02515
1.7880,-0.04038
1.7920,0.01460
1.7960,-0.01610
1.8000,-0.01954
1.8040,-0.00006
1.8080,-0.00439
1.8120,-0.00076
1.8160,0.01261
1.8200,-0.00054
1.8240,-0.00430
1.8280,0.01508
1.8320,0.02473
1.8360,0.01481
1.8400,0.02276
1.8440,0.03254
1.8480,0.06997
1.8520,0.08838
1.8560,0.09674
1.8600,0.07386
1.8640,0.08667
1.8680,0.08672
1.8720,0.14122
1.8760,0.11290
1.8800,0.12454
1.8840,0.12116
1.8880,0.13213
1.8920,0.11326
1.8960,0.11711
1.9000,0.10832
1.9040,0.08041
1.9080,0.11212
1.9120,0.11056
1.9160,0.10431
1.9200,0.10279
1.9240,0.08298
1.9280,0.05695
1.9320,0.05571
1.9360,0.02957
1.9400,0.04001
1.9440,0.01514
1.9480,-0.02331
1.9520,0.00399
1.9560,-0.00104
1.9600,-0.02556
1.9640,-0.00682
1.9680,-0.00293
1.9720,-0.04700
1.9760,-0.03136
1.9800,-0.04973
1.9840,-0.10770
1.9880,-0.14565
1.9920,-0.21955
1.9960,-0.29635
2.0000,-0.39102
2.0040,-0.48489
2.0080,-0.61715
2.0120,-0.70500
2.0160,-0.74299
2.0200,-0.63219
2.0240,-0.46183
2.0280,-0.15212
2.0320,0.22044
2.0360,0.60358
2.0400,1.01868
2.0440,1.30455
2.0480,1.45222
2.0520,1.42167
2.0560,1.24763
2.0600,0.91368
2.0640,0.50689
2.0680,0.11580
2.0720,-0.25220
2.0760,-0.50801
2.0800,-0.65022
2.0840,-0.70809
2.0880,-0.68768
2.0920,-0.55761
2.0960,-0.46106
2.1000,-0.38467
2.1040,-0.28279
2.1080,-0.20631
2.1120,-0.15579
2.1160,-0.08792
2.1200,-0.04509
2.1240,-0.04591
2.1280,-0.01885
2.1320,-0.04293
2.1360,-0.02931
2.1400,-0.04485
2.1440,-0.02880
2.1480,-0.01129
2.1520,-0.01489
2.1560,-0.00830
2.1600,-0.02749
2.1640,-0.00516
2.1680,0.00575
2.1720,-0.00437
2.1760,-0.03011
2.1800,-0.00107
2.1840,0.00274
2.1880,-0.00619
2.1920,-0.00630
2.1960,0.00273
2.2000,0.03839
2.2040,0.02990
2.2080,0.06022
2.2120,0.01597
2.2160,0.05754
2.2200,0.08398
2.2240,0.09672
2.2280,0.07089
2.2320,0.11303
2.2360,0.11615
2.2400,0.12843
2.2440,0.12518
2.2480,0.14866
2.2520,0.15898
2.2560,0.14811
2.2600,0.12857
2.2640,0.19818
2.2680,0.20890
2.2720,0.21587
2.2760,0.21008
2.2800,0.22112
2.2840,0.21422
2.2880,0.27226
2.2920,0.25612
2.2960,0.27882
2.3000,0.26892
2.3040,0.24599
2.3080,0.29937
2.3120,0.31095
2.3160,0.32478
2.3200,0.29829
2.3240,0.29481
2.3280,0.30510
2.3320,0.28692
2.3360,0.28795
2.3400,0.30771
2.3440,0.29135
2.3480,0.28220
2.3520,0.29023
2.3560,0.27244
2.3600,0.30617
2.3640,0.25720
2.3680,0.27565
2.3720,0.25298
2.3760,0.24658
2.3800,0.22635
2.3840,0.20736
2.3880,0.19784
2.3920,0.17678
2.3960,0.17928
2.4000,0.17607
2.4040,0.11277
2.4080,0.11820
2.4120,0.10729
2.4160,0.12328
2.4200,0.11145
2.4240,0.08479
2.4280,0.10285
2.4320,0.06428
2.4360,0.06825
2.4400,0.06274
2.4440,0.03948
2.4480,0.04915
2.4520,0.02014
2.4560,0.01805
2.4600,0.01317
2.4640,0.01651
2.4680,0.02089
2.4720,-0.01743
2.4760,-0.03167
2.4800,-0.00548
2.4840,-0.05096
2.4880,-0.02242
2.4920,-0.01780
2.4960,-0.05577
2.5000,-0.04471
2.5040,-0.03909
2.5080,-0.03831
2.5120,-0.03844
2.5160,-0.03402
2.5200,-0.03104
2.5240,-0.06638
2.5280,-0.02501
2.5320,-0.04895
2.5360,-0.05170
2.5400,-0.02944
2.5440,-0.05476
2.5480,-0.06032
2.5520,-0.07589
2.5560,-0.02900
2.5600,-0.07493
2.5640,-0.06813
2.5680,-0.08048
2.5720,-0.05468
2.5760,-0.07682
2.5800,-0.03126
2.5840,-0.05923
2.5880,-0.06645
2.5920,-0.04329
2.5960,-0.06510
2.6000,-0.05080
2.6040,-0.03522
2.6080,-0.06088
2.6120,-0.05432
2.6160,-0.05978
2.6200,-0.05326
2.6240,-0.00258
2.6280,-0.08028
2.6320,-0.03442
2.6360,-0.04700
2.6400,-0.05801
2.6440,-0.03191
2.6480,-0.02788
2.6520,-0.05945
2.6560,-0.04640
2.6600,-0.05309
2.6640,-0.03572
2.6680,-0.03796
2.6720,-0.03859
2.6760,-0.02901
2.6800,-0.02431
2.6840,-0.00547
2.6880,-0.03572
2.6920,-0.01794
2.6960,0.02645
2.7000,-0.01227
2.7040,0.02416
2.7080,0.00016
2.7120,0.03554
2.7160,0.03229
2.7200,0.05155
2.7240,0.05153
2.7280,0.08558
2.7320,0.07518
2.7360,0.08196
2.7400,0.09915
2.7440,0.08745
2.7480,0.06739
2.7520,0.08251
2.7560,0.09490
2.7600,0.13015
2.7640,0.13536
2.7680,0.07602
2.7720,0.09211
2.7760,0.07162
2.7800,0.07673
2.7840,0.04405
2.7880,0.05865
2.7920,0.03108
2.7960,0.01512
2.8000,0.01346
2.8040,-0.01606
2.8080,0.01587
2.8120,-0.01478
2.8160,0.01368
2.8200,-0.00232
2.8240,-0.00190
2.8280,-0.03189
2.8320,-0.01168
2.8360,-0.01913
2.8400,-0.05551
2.8440,-0.06498
2.8480,-0.06970
2.8520,-0.12795
2.8560,-0.19721
2.8600,-0.24632
2.8640,-0.34016
2.8680,-0.48131
2.8720,-0.57092
2.8760,-0.66597
2.8800,-0.68930
2.8840,-0.67984
2.8880,-0.51008
2.8920,-0.26796
2.8960,0.05663
2.9000,0.45695
2.9040,0.85131
2.9080,1.22805
2.9120,1.40182
2.9160,1.45581
2.9200,1.35396
2.9240,1.05383
2.9280,0.66606
2.9320,0.25434
2.9360,-0.12996
2.9400,-0.44374
2.9440,-0.60381
2.9480,-0.71213
2.9520,-0.65508
2.9560,-0.64204
2.9600,-0.51834
2.9640,-0.40126
2.9680,-0.30713
2.9720,-0.21140
2.9760,-0.13586
2.9800,-0.07774
2.9840,-0.06637
2.9880,-0.04893
2.9920,-0.03113
2.9960,-0.02854
3.0000,-0.03593
3.0040,-0.02139
3.0080,-0.00012
3.0120,-0.01507
3.0160,-0.01435
3.0200,-0.01394
3.0240,-0.00055
3.0280,-0.00000
3.0320,0.00378
3.0360,-0.00440
3.0400,-0.03105
3.0440,-0.00067
3.0480,0.01288
3.0520,0.00481
3.0560,0.03452
3.0600,0.01676
3.0640,0.00342
3.0680,0.05644
3.0720,0.04800
3.0760,0.05971
3.0800,0.04136
3.0840,0.07189
3.0880,0.08469
3.0920,0.09805
3.0960,0.12115
3.1000,0.10883
3.1040,0.12633
3.1080,0.16713
3.1120,0.15119
3.1160,0.18740
3.1200,0.15158
3.1240,0.18779
3.1280,0.22157
3.1320,0.22590
3.1360,0.25058
3.1400,0.23413
3.1440,0.25340
3.1480,0.22704
3.1520,0.25224
3.1560,0.29160
3.1600,0.28372
3.1640,0.31475
3.1680,0.30530
3.1720,0.32515
3.1760,0.31026
3.1800,0.31223
3.1840,0.34842
3.1880,0.34351
3.1920,0.33684
3.1960,0.35004
3.2000,0.35033
3.2040,0.35245
3.2080,0.32750
3.2120,0.31736
3.2160,0.32443
3.2200,0.32316
3.2240,0.29109
3.2280,0.26993
3.2320,0.30102
3.2360,0.30421
3.2400,0.27782
3.2440,0.26170
3.2480,0.25754
3.2520,0.24678
3.2560,0.21691
3.2600,0.22465
3.2640,0.22662
3.2680,0.20310
3.2720,0.18322
3.2760,0.18516
3.2800,0.17161
3.2840,0.13595
3.2880,0.16015
3.2920,0.14252
3.2960,0.12531
3.3000,0.11763
3.3040,0.10486
3.3080,0.08173
3.3120,0.09437
3.3160,0.07767
3.3200,0.08687
3.3240,0.05546
3.3280,0.04573
3.3320,0.03841
3.3360,0.06211
3.3400,0.04115
3.3440,0.02929
3.3480,0.01467
3.3520,0.06846
3.3560,0.02860
3.3600,0.01499
3.3640,0.01499
3.3680,0.03748
3.3720,0.01379
3.3760,0.00039
3.3800,0.01381
3.3840,0.03855
3.3880,0.03183
3.3920,0.03218
3.3960,0.00156
3.4000,-0.01044
3.4040,0.00510
3.4080,0.00429
3.4120,0.01039
3.4160,0.02402
3.4200,0.00179
3.4240,-0.00134
3.4280,-0.00611
3.4320,0.02139
3.4360,0.01676
3.4400,0.02426
3.4440,-0.00820
3.4480,0.00411
3.4520,0.03091
3.4560,0.01795
3.4600,0.02994
3.4640,0.02706
3.4680,0.02402
3.4720,0.00427
3.4760,0.01225
3.4800,0.01931
3.4840,0.05048
3.4880,0.02721
3.4920,0.01567
3.4960,0.02111
3.5000,0.02633
3.5040,0.01881
3.5080,0.03498
3.5120,0.04329
3.5160,0.06709
3.5200,0.05708
3.5240,0.04368
3.5280,0.03530
3.5320,0.03290
3.5360,0.07324
3.5400,0.08492
3.5440,0.09787
3.5480,0.08995
3.5520,0.09577
3.5560,0.10490
3.5600,0.12921
3.5640,0.09646
3.5680,0.11139
3.5720,0.10972
3.5760,0.14864
3.5800,0.16049
3.5840,0.18579
3.5880,0.17224
3.5920,0.18139
3.5960,0.17153
3.6000,0.16393
3.6040,0.15096
3.6080,0.16564
3.6120,0.15433
3.6160,0.13072
3.6200,0.12907
3.6240,0.11168
3.6280,0.10493
3.6320,0.12631
3.6360,0.10349
3.6400,0.09641
3.6440,0.06556
3.6480,0.06320
3.6520,0.08294
3.6560,0.04797
3.6600,0.04311
3.6640,0.05713
3.6680,0.05939
3.6720,0.05397
3.6760,0.03026
3.6800,0.00483
3.6840,-0.00053
3.6880,-0.02928
3.6920,-0.08639
3.6960,-0.15159
3.7000,-0.22201
3.7040,-0.30703
3.7080,-0.47331
3.7120,-0.55082
3.7160,-0.64536
3.7200,-0.62873
3.7240,-0.55304
3.7280,-0.32936
3.7320,-0.05691
3.7360,0.29601
3.7400,0.74679
3.7440,1.08229
3.7480,1.40203
3.7520,1.55578
3.7560,1.49590
3.7600,1.29401
3.7640,0.95608
3.7680,0.54340
3.7720,0.14685
3.7760,-0.22499
3.7800,-0.44315
3.7840,-0.60191
3.7880,-0.61749
3.7920,-0.59549
3.7960,-0.50357
3.8000,-0.39514
3.8040,-0.29413
3.8080,-0.17761
3.8120,-0.11274
3.8160,-0.06803
3.8200,-0.02035
3.8240,0.00919
3.8280,0.03368
3.8320,0.04030
3.8360,0.03607
3.8400,0.05098
3.8440,0.08308
3.8480,0.04764
3.8520,0.01151
3.8560,0.03891
3.8600,0.04864
3.8640,0.07889
3.8680,0.08247
3.8720,0.06002
3.8760,0.07431
3.8800,0.07338
3.8840,0.06056
3.8880,0.08542
3.8920,0.09487
3.8960,0.07906
3.9000,0.10477
3.9040,0.12484
3.9080,0.08933
3.9120,0.12557
3.9160,0.14269
3.9200,0.15500
3.9240,0.13203
3.9280,0.15255
3.9320,0.16908
3.9360,0.19493
3.9400,0.21951
3.9440,0.20472
3.9480,0.23221
3.9520,0.22218
3.9560,0.23161
3.9600,0.26537
3.9640,0.28593
3.9680,0.30186
3.9720,0.27500
3.9760,0.28266
3.9800,0.33450
3.9840,0.28885
3.9880,0.32839
3.9920,0.33256
3.9960,0.37267
4.0000,0.36258
4.0040,0.37675
4.0080,0.37867
4.0120,0.37849
4.0160,0.39649
4.0200,0.37795
4.0240,0.37962
4.0280,0.39091
4.0320,0.39544
4.0360,0.38726
4.0400,0.39857
4.0440,0.42767
4.0480,0.38689
4.0520,0.39991
4.0560,0.37619
4.0600,0.39169
4.0640,0.34937
4.0680,0.37181
4.0720,0.35452
4.0760,0.34563
4.0800,0.31009
4.0840,0.31119
4.0880,0.32732
4.0920,0.27230
4.0960,0.27726
4.1000,0.27820
4.1040,0.28879
4.1080,0.26535
4.1120,0.25582
4.1160,0.21642
4.1200,0.21471
4.1240,0.18936
4.1280,0.18492
4.1320,0.18061
4.1360,0.15738
4.1400,0.17879
4.1440,0.15041
4.1480,0.13548
4.1520,0.11946
4.1560,0.14377
4.1600,0.12745
4.1640,0.10646
4.1680,0.08647
4.1720,0.11068
4.1760,0.09101
4.1800,0.10283
4.1840,0.08434
4.1880,0.10131
4.1920,0.07560
4.1960,0.09689
4.2000,0.08216
4.2040,0.04733
4.2080,0.06071
4.2120,0.08638
4.2160,0.06535
4.2200,0.05166
4.2240,0.05946
4.2280,0.07410
4.2320,0.06139
4.2360,0.05190
4.2400,0.02854
4.2440,0.07835
4.2480,0.03861
4.2520,0.06784
4.2560,0.02822
4.2600,0.04272
4.2640,0.03764
4.2680,0.06315
4.2720,0.04134
4.2760,0.05827
4.2800,0.07568
4.2840,0.05120
4.2880,0.03581
4.2920,0.04424
4.2960,0.03371
4.3000,0.06126
4.3040,0.05900
4.3080,0.05298
4.3120,0.03242
4.3160,0.01526
4.3200,0.04280
4.3240,0.04318
4.3280,0.03343
4.3320,0.03469
4.3360,0.04260
4.3400,0.06027
4.3440,0.01747
4.3480,0.04188
4.3520,0.06357
4.3560,0.01839
4.3600,0.05002
4.3640,0.05466
4.3680,0.05799
4.3720,0.08651
4.3760,0.06231
4.3800,0.05659
4.3840,0.06520
4.3880,0.07841
4.3920,0.07075
4.3960,0.06893
4.4000,0.08838
4.4040,0.10531
4.4080,0.14407
4.4120,0.11975
4.4160,0.13046
4.4200,0.12893
4.4240,0.17945
4.4280,0.17386
4.4320,0.18840
4.4360,0.19004
4.4400,0.17744
4.4440,0.19462
4.4480,0.17818
4.4520,0.19965
4.4560,0.20812
4.4600,0.22467
4.4640,0.16667
4.4680,0.19104
4.4720,0.17704
4.4760,0.13681
4.4800,0.14771
4.4840,0.15395
4.4880,0.11350
4.4920,0.11919
4.4960,0.10027
4.5000,0.09863
4.5040,0.07382
4.5080,0.07833
4.5120,0.07715
4.5160,0.05551
4.5200,0.04533
4.5240,0.05084
4.5280,0.03759
4.5320,0.03685
4.5360,0.01206
4.5400,0.01700
4.5440,-0.02285
4.5480,-0.09333
4.5520,-0.11416
4.5560,-0.23268
4.5600,-0.32762
4.5640,-0.41732
4.5680,-0.55186
4.5720,-0.58371
4.5760,-0.66462
4.5800,-0.60067
4.5840,-0.37541
4.5880,-0.11437
4.5920,0.27943
4.5960,0.67585
4.6000,1.07062
4.6040,1.37559
4.6080,1.52326
4.6120,1.49379
4.6160,1.29629
4.6200,0.97315
4.6240,0.56591
4.6280,0.18796
4.6320,-0.19800
4.6360,-0.43671
4.6400,-0.58549
4.6440,-0.66417
4.6480,-0.59927
4.6520,-0.50196
4.6560,-0.41362
4.6600,-0.29013
4.6640,-0.20392
4.6680,-0.12256
4.6720,-0.05456
4.6760,-0.03014
4.6800,0.00667
4.6840,-0.00915
4.6880,0.02511
4.6920,0.00257
4.6960,0.02626
4.7000,0.02448
4.7040,0.04270
4.7080,0.03178
4.7120,0.06772
4.7160,0.03582
4.7200,0.02794
4.7240,0.01499
4.7280,0.04862
4.7320,0.04705
4.7360,0.06706
4.7400,0.07245
4.7440,0.07514
4.7480,0.05447
4.7520,0.05478
4.7560,0.07269
4.7600,0.07149
4.7640,0.09375
4.7680,0.09435
4.7720,0.11717
4.7760,0.10669
4.7800,0.09540
4.7840,0.14258
4.7880,0.18046
4.7920,0.16145
4.7960,0.13891
4.8000,0.15075
4.8040,0.20819
4.8080,0.19346
4.8120,0.20692
4.8160,0.21016
4.8200,0.24544
4.8240,0.24546
4.8280,0.23589
4.8320,0.25791
4.8360,0.27232
4.8400,0.28039
4.8440,0.30907
4.8480,0.29472
4.8520,0.31062
4.8560,0.35025
4.8600,0.35946
4.8640,0.36879
4.8680,0.35252
4.8720,0.36382
4.8760,0.34320
4.8800,0.34753
4.8840,0.33745
4.8880,0.36787
4.8920,0.37065
4.8960,0.36718
4.9000,0.35053
4.9040,0.34586
4.9080,0.36088
4.9120,0.32548
4.9160,0.33674
4.9200,0.34424
4.9240,0.32509
4.9280,0.31373
4.9320,0.30515
4.9360,0.29381
4.9400,0.27340
4.9440,0.23853
4.9480,0.22368
4.9520,0.24347
4.9560,0.22345
4.9600,0.24172
4.9640,0.20416
4.9680,0.22204
4.9720,0.16491
4.9760,0.18708
4.9800,0.16127
4.9840,0.16275
4.9880,0.11870
4.9920,0.10905
4.9960,0.10263
5.0000,0.12362
5.0040,0.09938
5.0080,0.10201
5.0120,0.05858
5.0160,0.09218
5.0200,0.07889
5.0240,0.04407
5.0280,0.03603
5.0320,0.04048
5.0360,0.04438
5.0400,0.02845
5.0440,0.03618
5.0480,0.00505
5.0520,0.03889
5.0560,0.03343
5.0600,0.02589
5.0640,-0.00571
5.0680,0.02188
5.0720,-0.01158
5.0760,0.02389
5.0800,-0.01762
5.0840,-0.00345
5.0880,0.01070
5.0920,-0.01888
5.0960,-0.03308
5.1000,-0.01336
5.1040,-0.01371
5.1080,-0.01435
5.1120,-0.00640
5.1160,-0.01017
5.1200,-0.00893
5.1240,-0.02353
5.1280,-0.01784
5.1320,-0.00530
5.1360,-0.02636
5.1400,-0.02997
5.1440,-0.01399
5.1480,0.01995
5.1520,0.01859
5.1560,-0.05003
5.1600,-0.02175
5.1640,-0.01759
5.1680,-0.01769
5.1720,-0.01686
5.1760,-0.02546
5.1800,-0.01956
5.1840,-0.03412
5.1880,-0.04092
5.1920,-0.03328
5.1960,-0.01635
5.2000,-0.00607
5.2040,0.02047
5.2080,-0.02382
5.2120,0.00259
5.2160,-0.01091
5.2200,-0.01294
5.2240,0.00621
5.2280,-0.00208
5.2320,-0.00659
5.2360,-0.00026
5.2400,0.00261
5.2440,0.00854
5.2480,0.03976
5.2520,0.04503
5.2560,0.03475
5.2600,0.03902
5.2640,0.08569
5.2680,0.07846
5.2720,0.08883
5.2760,0.09713
5.2800,0.10539
5.2840,0.10017
5.2880,0.13606
5.2920,0.13801
5.2960,0.12526
5.3000,0.08352
5.3040,0.12045
5.3080,0.11601
5.3120,0.11856
5.3160,0.10892
5.3200,0.11105
5.3240,0.08005
5.3280,0.03738
5.3320,0.08931
5.3360,0.08084
5.3400,0.04969
5.3440,0.00716
5.3480,0.03443
5.3520,0.01247
5.3560,-0.01296
5.3600,0.00919
5.3640,0.03165
5.3680,-0.01165
5.3720,-0.02013
5.3760,-0.04304
5.3800,-0.04197
5.3840,-0.02101
5.3880,-0.07374
5.3920,-0.10889
5.3960,-0.15473
5.4000,-0.20713
5.4040,-0.31384
5.4080,-0.39368
5.4120,-0.52507
5.4160,-0.60735
5.4200,-0.66338
5.4240,-0.70756
5.4280,-0.61629
5.4320,-0.42322
5.4360,-0.13392
5.4400,0.23859
5.4440,0.66105
